					
Mesure effectuee le 24/03/2014 a 14:46					
section 0.9mm2					
corde 6 exl 120					
frequence 100 millisecond multiple					
vitesse 0.1mm/s					
					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
0.058	0.100	2.090	0.100	2.090	0.900
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
79.382828	-0.003258	-0.003228	0.071445	-0.002059	
79.382828	-0.003258	-0.003228	0.071445	-0.002059	
80.073112	-0.003259	-0.003232	0.072066	-0.002059	
80.073112	-0.003260	-0.003229	0.072066	-0.002059	
80.763397	-0.003260	-0.003229	0.072687	-0.002059	
80.763397	-0.003259	-0.003228	0.072687	-0.002059	
79.382828	-0.003261	-0.003229	0.071445	-0.002059	
79.382828	-0.003263	-0.003229	0.071445	-0.002059	
80.073112	-0.003264	-0.003230	0.072066	-0.002059	
80.073112	-0.003264	-0.003230	0.072066	-0.002059	
79.382828	-0.003259	-0.003229	0.071445	-0.002059	
80.073112	-0.003263	-0.003226	0.072066	-0.002059	
80.073112	-0.003261	-0.003228	0.072066	-0.002059	
80.763397	-0.003263	-0.003229	0.072687	-0.002059	
80.763397	-0.003261	-0.003229	0.072687	-0.002059	
79.382828	-0.003263	-0.003228	0.071445	-0.002059	
79.382828	-0.003263	-0.003228	0.071445	-0.002059	
80.073112	-0.003264	-0.003228	0.072066	-0.002059	
80.073112	-0.003265	-0.003231	0.072066	-0.002059	
80.073112	-0.003260	-0.003229	0.072066	-0.002059	
80.073112	-0.003263	-0.003231	0.072066	-0.002059	
78.692543	-0.003263	-0.003231	0.070823	-0.002059	
78.692543	-0.003263	-0.003228	0.070823	-0.002059	
80.763397	-0.003259	-0.003231	0.072687	-0.015588	
80.763397	-0.003260	-0.003228	0.072687	-0.015588	
82.143974	-0.003263	-0.003230	0.073930	-0.039706	
82.143974	-0.003260	-0.003229	0.073930	-0.039706	
84.214828	-0.003261	-0.003230	0.075793	-0.061765	
84.214828	-0.003261	-0.003229	0.075793	-0.061765	
82.834259	-0.003260	-0.003228	0.074551	-0.082353	
82.834259	-0.003261	-0.003229	0.074551	-0.082353	
86.975967	-0.003263	-0.003230	0.078278	-0.102353	
86.975967	-0.003263	-0.003230	0.078278	-0.102353	
88.356544	-0.003261	-0.003230	0.079521	-0.122941	
88.356544	-0.003261	-0.003230	0.079521	-0.122941	
91.807968	-0.003263	-0.003229	0.082627	-0.142941	
91.807968	-0.003261	-0.003229	0.082627	-0.142941	
93.188538	-0.003261	-0.003225	0.083870	-0.162059	
93.188538	-0.003261	-0.003229	0.083870	-0.162059	
95.949684	-0.003261	-0.003229	0.086355	-0.182059	
95.949684	-0.003264	-0.003229	0.086355	-0.182059	
97.330254	-0.003261	-0.003230	0.087597	-0.204118	
97.330254	-0.003261	-0.003228	0.087597	-0.204118	
100.781677	-0.003261	-0.003230	0.090704	-0.223824	
100.781677	-0.003260	-0.003232	0.090704	-0.223824	
101.471962	-0.003260	-0.003232	0.091325	-0.245882	
101.471962	-0.003261	-0.003228	0.091325	-0.245882	
102.852539	-0.003261	-0.003224	0.092567	-0.265882	
102.852539	-0.003261	-0.003224	0.092567	-0.265882	
105.613678	-0.003261	-0.003224	0.095052	-0.285882	
105.613678	-0.003261	-0.003228	0.095052	-0.285882	
107.684532	-0.003260	-0.003228	0.096916	-0.305000	
107.684532	-0.003263	-0.003228	0.096916	-0.305000	
109.065102	-0.003263	-0.003228	0.098159	-0.325000	
109.065102	-0.003261	-0.003228	0.098159	-0.325000	
112.516533	-0.003261	-0.003229	0.101265	-0.343824	
112.516533	-0.003263	-0.003230	0.101265	-0.343824	
113.897102	-0.003261	-0.003229	0.102507	-0.362941	
113.897102	-0.003260	-0.003229	0.102507	-0.362941	
116.658249	-0.003263	-0.003231	0.104992	-0.382353	
116.658249	-0.003263	-0.003228	0.104992	-0.382353	
118.038818	-0.003260	-0.003225	0.106235	-0.402353	
118.038818	-0.003260	-0.003230	0.106235	-0.402353	
121.490242	-0.003263	-0.003229	0.109341	-0.422353	
121.490242	-0.003264	-0.003228	0.109341	-0.422353	
123.561096	-0.003263	-0.003229	0.111205	-0.443529	
123.561096	-0.003260	-0.003228	0.111205	-0.443529	
125.631958	-0.003260	-0.003226	0.113069	-0.462941	
125.631958	-0.003263	-0.003229	0.113069	-0.462941	
127.012527	-0.003264	-0.003229	0.114311	-0.482059	
127.012527	-0.003263	-0.003226	0.114311	-0.482059	
129.773666	-0.003257	-0.003230	0.116796	-0.501765	
129.773666	-0.003261	-0.003231	0.116796	-0.501765	
131.154236	-0.003263	-0.003225	0.118039	-0.521176	
131.154236	-0.003264	-0.003225	0.118039	-0.521176	
133.915375	-0.003259	-0.003228	0.120524	-0.542941	
133.915375	-0.003261	-0.003230	0.120524	-0.542941	
135.295959	-0.003260	-0.003228	0.121766	-0.561471	
135.295959	-0.003265	-0.003229	0.121766	-0.561471	
136.676529	-0.003263	-0.003229	0.123009	-0.582647	
136.676529	-0.003260	-0.003229	0.123009	-0.582647	
139.437668	-0.003260	-0.003230	0.125494	-0.602353	
139.437668	-0.003265	-0.003230	0.125494	-0.602353	
142.889099	-0.003261	-0.003231	0.128600	-0.621471	
142.889099	-0.003260	-0.003228	0.128600	-0.621471	
144.269669	-0.003263	-0.003228	0.129843	-0.642353	
144.269669	-0.003260	-0.003231	0.129843	-0.642353	
145.650238	-0.003263	-0.003230	0.131085	-0.662059	
145.650238	-0.003259	-0.003229	0.131085	-0.662059	
149.101669	-0.003260	-0.003231	0.134191	-0.681471	
149.101669	-0.003261	-0.003230	0.134191	-0.681471	
150.482239	-0.003260	-0.003226	0.135434	-0.701176	
150.482239	-0.003261	-0.003230	0.135434	-0.701176	
153.933655	-0.003264	-0.003230	0.138540	-0.722941	
153.933655	-0.003260	-0.003228	0.138540	-0.722941	
153.933655	-0.003263	-0.003230	0.138540	-0.742647	
153.933655	-0.003260	-0.003231	0.138540	-0.742647	
155.314224	-0.003264	-0.003229	0.139783	-0.762059	
155.314224	-0.003260	-0.003226	0.139783	-0.762059	
156.694809	-0.003263	-0.003228	0.141025	-0.781176	
156.694809	-0.003259	-0.003231	0.141025	-0.781176	
157.385086	-0.003261	-0.003229	0.141647	-0.800882	
157.385086	-0.003263	-0.003226	0.141647	-0.800882	
160.146225	-0.003260	-0.003229	0.144132	-0.821765	
160.146225	-0.003260	-0.003231	0.144132	-0.821765	
163.597656	-0.003263	-0.003228	0.147238	-0.842353	
163.597656	-0.003261	-0.003229	0.147238	-0.842353	
163.597656	-0.003263	-0.003228	0.147238	-0.859412	
163.597656	-0.003260	-0.003226	0.147238	-0.859412	
166.358795	-0.003260	-0.003225	0.149723	-0.879118	
166.358795	-0.003260	-0.003228	0.149723	-0.898235	
169.810226	-0.003263	-0.003229	0.152829	-0.898235	
169.810226	-0.003263	-0.003229	0.152829	-0.917647	
169.810226	-0.003260	-0.003225	0.152829	-0.917647	
169.810226	-0.003263	-0.003230	0.152829	-0.936765	
173.261658	-0.003265	-0.003229	0.155935	-0.936765	
174.642227	-0.003264	-0.003230	0.157178	-0.955882	
174.642227	-0.003263	-0.003231	0.157178	-0.955882	
177.403366	-0.003263	-0.003224	0.159663	-0.974706	
177.403366	-0.003260	-0.003229	0.159663	-0.974706	
176.713089	-0.003261	-0.003226	0.159042	-0.993824	
176.713089	-0.003261	-0.003229	0.159042	-0.993824	
180.164505	-0.003264	-0.003226	0.162148	-1.012941	
180.164505	-0.003263	-0.003228	0.162148	-1.012941	
181.545074	-0.003263	-0.003228	0.163391	-1.034118	
181.545074	-0.003263	-0.003225	0.163391	-1.034118	
183.615936	-0.003263	-0.003228	0.165254	-1.052647	
183.615936	-0.003261	-0.003226	0.165254	-1.052647	
186.377075	-0.003259	-0.003229	0.167739	-1.072059	
186.377075	-0.003264	-0.003229	0.167739	-1.072059	
187.067368	-0.003259	-0.003230	0.168361	-1.091177	
187.067368	-0.003259	-0.003229	0.168361	-1.091177	
188.447937	-0.003261	-0.003228	0.169603	-1.110882	
188.447937	-0.003260	-0.003225	0.169603	-1.110882	
191.209076	-0.003260	-0.003226	0.172088	-1.131176	
191.209076	-0.003264	-0.003230	0.172088	-1.131176	
192.589645	-0.003263	-0.003230	0.173331	-1.151765	
192.589645	-0.003259	-0.003225	0.173331	-1.151765	
193.970215	-0.003261	-0.003230	0.174573	-1.170882	
193.970215	-0.003260	-0.003229	0.174573	-1.170882	
198.111938	-0.003260	-0.003228	0.178301	-1.190588	
198.111938	-0.003261	-0.003228	0.178301	-1.190588	
199.492508	-0.003261	-0.003226	0.179543	-1.209118	
199.492508	-0.003260	-0.003228	0.179543	-1.209118	
200.182785	-0.003259	-0.003228	0.180165	-1.228529	
200.182785	-0.003263	-0.003229	0.180165	-1.247941	
202.943924	-0.003263	-0.003229	0.182650	-1.247941	
202.943924	-0.003260	-0.003229	0.182650	-1.267059	
204.324493	-0.003259	-0.003226	0.183892	-1.267059	
205.705078	-0.003261	-0.003229	0.185135	-1.285882	
205.705078	-0.003261	-0.003229	0.185135	-1.285882	
206.395355	-0.003261	-0.003225	0.185756	-1.305294	
206.395355	-0.003260	-0.003229	0.185756	-1.305294	
208.466217	-0.003259	-0.003226	0.187620	-1.324412	
208.466217	-0.003261	-0.003228	0.187620	-1.324412	
210.537064	-0.003261	-0.003228	0.189483	-1.343235	
210.537064	-0.003259	-0.003230	0.189483	-1.343235	
213.298218	-0.003260	-0.003230	0.191968	-1.362647	
213.298218	-0.003261	-0.003225	0.191968	-1.362647	
216.059357	-0.003260	-0.003228	0.194453	-1.381765	
216.059357	-0.003261	-0.003226	0.194453	-1.381765	
218.130203	-0.003260	-0.003226	0.196317	-1.400882	
218.130203	-0.003261	-0.003228	0.196317	-1.400882	
219.510788	-0.003260	-0.003231	0.197560	-1.422059	
219.510788	-0.003261	-0.003229	0.197560	-1.422059	
221.581635	-0.003259	-0.003230	0.199423	-1.441176	
