					
Mesure effectuee le 24/03/2014 a 16:01					
frequence 100 millisecond multiple					
section 0,04mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,04
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-31,221901	-0,003256	-0,003223	-0,001249	0	
-31,221901	-0,003256	-0,003223	-0,001249	0	
-62,443802	-0,003256	-0,003223	-0,002498	0	
-62,443802	-0,003257	-0,003224	-0,002498	0	
-62,443802	-0,003257	-0,003224	-0,002498	0	
-62,443802	-0,003254	-0,003223	-0,002498	0	
-62,443802	-0,003254	-0,003223	-0,002498	0	
-46,832851	-0,003254	-0,003223	-0,001873	0	
-46,832851	-0,003253	-0,003224	-0,001873	0	
-46,832851	-0,003257	-0,003224	-0,001873	0	
-46,832851	-0,003257	-0,003224	-0,001873	0	
-46,832851	-0,003257	-0,003225	-0,001873	0	
-46,832851	-0,003253	-0,003225	-0,001873	0	
-78,054749	-0,003257	-0,003224	-0,003122	0	
-78,054749	-0,003257	-0,003225	-0,003122	0	
-62,443802	-0,003257	-0,003224	-0,002498	0	
-62,443802	-0,003257	-0,003224	-0,002498	0	
-31,221901	-0,003258	-0,003224	-0,001249	0	
-31,221901	-0,003258	-0,003224	-0,001249	0	
-62,443802	-0,003258	-0,003224	-0,002498	0	
-62,443802	-0,003254	-0,003224	-0,002498	0	
-46,832851	-0,003256	-0,003223	-0,001873	0	
-46,832851	-0,003258	-0,003225	-0,001873	0	
-46,832851	-0,003259	-0,003224	-0,001873	-0,000294	
-46,832851	-0,003257	-0,003224	-0,001873	-0,000294	
-93,665703	-0,003256	-0,003224	-0,003747	-0,021765	
-93,665703	-0,003256	-0,003223	-0,003747	-0,021765	
-62,443802	-0,003256	-0,003223	-0,002498	-0,041765	
-62,443802	-0,003256	-0,003223	-0,002498	-0,041765	
-62,443802	-0,003257	-0,003223	-0,002498	-0,062059	
-62,443802	-0,003257	-0,003222	-0,002498	-0,062059	
-46,832851	-0,003257	-0,003224	-0,001873	-0,082059	
-46,832851	-0,003257	-0,003225	-0,001873	-0,082059	
-62,443802	-0,003256	-0,003225	-0,002498	-0,102353	
-62,443802	-0,003256	-0,003224	-0,002498	-0,102353	
-62,443802	-0,003257	-0,003223	-0,002498	-0,122059	
-62,443802	-0,003258	-0,003225	-0,002498	-0,122059	
-46,832851	-0,003258	-0,003225	-0,001873	-0,142059	
-46,832851	-0,003254	-0,003223	-0,001873	-0,142059	
-46,832851	-0,003256	-0,003225	-0,001873	-0,162059	
-46,832851	-0,003256	-0,003222	-0,001873	-0,162059	
-62,443802	-0,003258	-0,003224	-0,002498	-0,182059	
-62,443802	-0,003253	-0,003225	-0,002498	-0,182059	
-93,665703	-0,003259	-0,003223	-0,003747	-0,202353	
-93,665703	-0,003256	-0,003224	-0,003747	-0,202353	
-46,832851	-0,003258	-0,003224	-0,001873	-0,222353	
-46,832851	-0,003257	-0,003223	-0,001873	-0,222353	
-46,832851	-0,003257	-0,003223	-0,001873	-0,242647	
-46,832851	-0,003254	-0,003225	-0,001873	-0,242647	
-46,832851	-0,003257	-0,003224	-0,001873	-0,262647	
-46,832851	-0,003256	-0,003224	-0,001873	-0,262647	
-31,221901	-0,003257	-0,003223	-0,001249	-0,282941	
-31,221901	-0,003256	-0,003224	-0,001249	-0,282941	
-93,665703	-0,003257	-0,003224	-0,003747	-0,302353	
-93,665703	-0,003256	-0,003224	-0,003747	-0,302353	
-15,61095	-0,003256	-0,003226	-0,000624	-0,322059	
-15,61095	-0,003257	-0,003225	-0,000624	-0,322059	
-31,221901	-0,003257	-0,003224	-0,001249	-0,341765	
-31,221901	-0,003257	-0,003224	-0,001249	-0,341765	
0	-0,003258	-0,003225	0	-0,362059	
0	-0,003258	-0,003224	0	-0,362059	
-31,221901	-0,003256	-0,003224	-0,001249	-0,382059	
-31,221901	-0,003258	-0,003222	-0,001249	-0,382059	
0	-0,003257	-0,003224	0	-0,402353	
0	-0,003256	-0,003224	0	-0,402353	
-15,61095	-0,003256	-0,003226	-0,000624	-0,422353	
-15,61095	-0,003256	-0,003225	-0,000624	-0,422353	
15,61095	-0,003256	-0,003225	0,000624	-0,442353	
15,61095	-0,003256	-0,003223	0,000624	-0,442353	
0	-0,003257	-0,003224	0	-0,462353	
0	-0,003257	-0,003222	0	-0,462353	
31,221901	-0,003257	-0,003223	0,001249	-0,481765	
31,221901	-0,003258	-0,003224	0,001249	-0,481765	
62,443802	-0,003256	-0,003223	0,002498	-0,501765	
62,443802	-0,003254	-0,003224	0,002498	-0,501765	
46,832851	-0,003254	-0,003224	0,001873	-0,521471	
46,832851	-0,003258	-0,003224	0,001873	-0,521471	
62,443802	-0,003258	-0,003222	0,002498	-0,542353	
62,443802	-0,003258	-0,003224	0,002498	-0,542353	
46,832851	-0,003257	-0,003223	0,001873	-0,562059	
46,832851	-0,003257	-0,003224	0,001873	-0,562059	
62,443802	-0,003257	-0,003223	0,002498	-0,582353	
62,443802	-0,003257	-0,003223	0,002498	-0,582353	
62,443802	-0,003257	-0,003223	0,002498	-0,602353	
62,443802	-0,003258	-0,003224	0,002498	-0,602353	
93,665703	-0,003257	-0,003223	0,003747	-0,622059	
93,665703	-0,003254	-0,003222	0,003747	-0,622059	
93,665703	-0,003256	-0,003224	0,003747	-0,642353	
93,665703	-0,003256	-0,003224	0,003747	-0,642353	
124,887604	-0,003257	-0,003223	0,004996	-0,661471	
124,887604	-0,003258	-0,003223	0,004996	-0,661471	
109,276649	-0,003254	-0,003224	0,004371	-0,682353	
109,276649	-0,003257	-0,003223	0,004371	-0,682353	
140,49855	-0,003257	-0,003223	0,00562	-0,701471	
140,49855	-0,003253	-0,003226	0,00562	-0,701471	
140,49855	-0,003256	-0,003223	0,00562	-0,721765	
140,49855	-0,003254	-0,003223	0,00562	-0,721765	
124,887604	-0,003256	-0,003223	0,004996	-0,742059	
124,887604	-0,003256	-0,003221	0,004996	-0,742059	
