					
Mesure effectuee le 24/03/2014 a 16:05					
frequence 100 millisecond multiple					
section 0,04mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,04
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-109,276649	-0,003259	-0,003222	-0,004371	-0,004412	
-109,276649	-0,003259	-0,003222	-0,004371	-0,004412	
-109,276649	-0,00326	-0,003221	-0,004371	-0,004412	
-109,276649	-0,003254	-0,003223	-0,004371	-0,004412	
-78,054749	-0,003254	-0,003223	-0,003122	-0,004412	
-78,054749	-0,003254	-0,003221	-0,003122	-0,004412	
-109,276649	-0,003254	-0,003223	-0,004371	-0,004412	
-109,276649	-0,003256	-0,003222	-0,004371	-0,004412	
-93,665703	-0,003256	-0,003224	-0,003747	-0,004412	
-93,665703	-0,003256	-0,003225	-0,003747	-0,004412	
-93,665703	-0,003256	-0,003225	-0,003747	-0,004412	
-93,665703	-0,003257	-0,003223	-0,003747	-0,004412	
-109,276649	-0,003256	-0,003222	-0,004371	-0,004706	
-109,276649	-0,003254	-0,003221	-0,004371	-0,004706	
-109,276649	-0,003254	-0,003223	-0,004371	-0,004412	
-109,276649	-0,003254	-0,003222	-0,004371	-0,004412	
-109,276649	-0,003257	-0,003223	-0,004371	-0,004412	
-109,276649	-0,003257	-0,003223	-0,004371	-0,004412	
-109,276649	-0,003254	-0,003223	-0,004371	-0,004706	
-109,276649	-0,003254	-0,003223	-0,004371	-0,004706	
-109,276649	-0,003254	-0,003224	-0,004371	-0,004412	
-109,276649	-0,003256	-0,003224	-0,004371	-0,004412	
-109,276649	-0,003256	-0,003224	-0,004371	-0,004412	
-93,665703	-0,003257	-0,003219	-0,003747	-0,004412	
-124,887604	-0,003252	-0,003222	-0,004996	-0,004412	
-124,887604	-0,003254	-0,003222	-0,004996	-0,004412	
-93,665703	-0,003253	-0,003221	-0,003747	-0,004412	
-93,665703	-0,003253	-0,003221	-0,003747	-0,004412	
-124,887604	-0,003256	-0,003223	-0,004996	-0,004412	
-124,887604	-0,003256	-0,003223	-0,004996	-0,004412	
-124,887604	-0,003256	-0,003224	-0,004996	-0,004706	
-124,887604	-0,003257	-0,003223	-0,004996	-0,013824	
-31,221901	-0,003256	-0,003226	-0,001249	-0,013824	
-31,221901	-0,003254	-0,003228	-0,001249	-0,037647	
-62,443802	-0,003254	-0,003228	-0,002498	-0,037647	
-62,443802	-0,003256	-0,003223	-0,002498	-0,057941	
-62,443802	-0,003256	-0,003223	-0,002498	-0,057941	
-93,665703	-0,003257	-0,003224	-0,003747	-0,077647	
-93,665703	-0,003257	-0,003223	-0,003747	-0,077647	
-46,832851	-0,003257	-0,003224	-0,001873	-0,097353	
-46,832851	-0,003257	-0,003223	-0,001873	-0,097353	
-46,832851	-0,003257	-0,003223	-0,001873	-0,116765	
-46,832851	-0,003256	-0,003226	-0,001873	-0,116765	
-78,054749	-0,003256	-0,003226	-0,003122	-0,136176	
-78,054749	-0,003256	-0,003223	-0,003122	-0,136176	
-78,054749	-0,003257	-0,003225	-0,003122	-0,155294	
-78,054749	-0,003257	-0,003223	-0,003122	-0,155294	
-62,443802	-0,003256	-0,003225	-0,002498	-0,175588	
-62,443802	-0,003256	-0,003223	-0,002498	-0,175588	
-62,443802	-0,003257	-0,003224	-0,002498	-0,195	
-62,443802	-0,003254	-0,003223	-0,002498	-0,195	
-62,443802	-0,003254	-0,003223	-0,002498	-0,214706	
-62,443802	-0,003258	-0,003224	-0,002498	-0,214706	
-62,443802	-0,003254	-0,003224	-0,002498	-0,235294	
-62,443802	-0,003254	-0,003223	-0,002498	-0,235294	
-62,443802	-0,003257	-0,003224	-0,002498	-0,254706	
-62,443802	-0,003253	-0,003223	-0,002498	-0,254706	
-93,665703	-0,003257	-0,003223	-0,003747	-0,275294	
-93,665703	-0,003256	-0,003223	-0,003747	-0,275294	
-31,221901	-0,003257	-0,003225	-0,001249	-0,295294	
-31,221901	-0,003256	-0,003222	-0,001249	-0,295294	
-62,443802	-0,003256	-0,003222	-0,002498	-0,315588	
-62,443802	-0,003257	-0,003223	-0,002498	-0,315588	
-78,054749	-0,003256	-0,003225	-0,003122	-0,335294	
-78,054749	-0,003254	-0,003224	-0,003122	-0,335294	
-31,221901	-0,003257	-0,003225	-0,001249	-0,355	
-31,221901	-0,003254	-0,003224	-0,001249	-0,355	
-78,054749	-0,003254	-0,003224	-0,003122	-0,375294	
-78,054749	-0,003256	-0,003224	-0,003122	-0,375294	
-46,832851	-0,003256	-0,003224	-0,001873	-0,395	
-46,832851	-0,003256	-0,003224	-0,001873	-0,395	
-78,054749	-0,003256	-0,003224	-0,003122	-0,415294	
-78,054749	-0,003258	-0,003224	-0,003122	-0,415294	
-93,665703	-0,003257	-0,003225	-0,003747	-0,435294	
-93,665703	-0,003257	-0,003224	-0,003747	-0,435294	
-46,832851	-0,003257	-0,003222	-0,001873	-0,455294	
-46,832851	-0,003257	-0,003222	-0,001873	-0,455294	
-78,054749	-0,003256	-0,003224	-0,003122	-0,475294	
-78,054749	-0,003259	-0,003224	-0,003122	-0,475294	
-62,443802	-0,003257	-0,003223	-0,002498	-0,495294	
-62,443802	-0,003256	-0,003226	-0,002498	-0,495294	
-46,832851	-0,003256	-0,003226	-0,001873	-0,515588	
-46,832851	-0,003256	-0,003226	-0,001873	-0,515588	
-31,221901	-0,003257	-0,003225	-0,001249	-0,535	
-31,221901	-0,003257	-0,003225	-0,001249	-0,535	
-62,443802	-0,003257	-0,003225	-0,002498	-0,554118	
-62,443802	-0,003257	-0,003222	-0,002498	-0,554118	
-62,443802	-0,003259	-0,003225	-0,002498	-0,574118	
-62,443802	-0,003257	-0,003222	-0,002498	-0,574118	
-46,832851	-0,003256	-0,003223	-0,001873	-0,593824	
-46,832851	-0,003254	-0,003223	-0,001873	-0,593824	
-46,832851	-0,003256	-0,003223	-0,001873	-0,613529	
-46,832851	-0,003257	-0,003224	-0,001873	-0,613529	
