					
Mesure effectuee le 24/03/2014 a 15:56					
frequence 100 millisecond multiple					
section 0,06mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,06
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-41,6292	-0,003256	-0,003223	-0,002498	0	
-41,6292	-0,003256	-0,003223	-0,002498	0	
-41,6292	-0,003256	-0,003223	-0,002498	0	
-41,6292	-0,003257	-0,003223	-0,002498	0	
-41,6292	-0,003258	-0,003224	-0,002498	0	
-20,8146	-0,00326	-0,003223	-0,001249	0	
-20,8146	-0,003258	-0,003222	-0,001249	0	
-41,6292	-0,003258	-0,003222	-0,002498	0	
-41,6292	-0,003256	-0,003223	-0,002498	0	
-62,443802	-0,003258	-0,003225	-0,003747	0	
-62,443802	-0,003257	-0,003226	-0,003747	0	
-62,443802	-0,003257	-0,003224	-0,003747	0	
-52,036499	-0,003256	-0,003223	-0,003122	0	
-62,443802	-0,003256	-0,003223	-0,003747	0	
-62,443802	-0,003257	-0,003225	-0,003747	0	
-52,036499	-0,003258	-0,003224	-0,003122	0	
-52,036499	-0,003258	-0,003222	-0,003122	0	
-52,036499	-0,003256	-0,003223	-0,003122	0	
-52,036499	-0,003257	-0,003226	-0,003122	0	
-31,221901	-0,003254	-0,003225	-0,001873	0	
-31,221901	-0,003256	-0,003225	-0,001873	0	
-31,221901	-0,003257	-0,003225	-0,001873	0	
-31,221901	-0,003257	-0,003225	-0,001873	0	
-41,6292	-0,003259	-0,003224	-0,002498	0	
-41,6292	-0,003257	-0,003225	-0,002498	0	
-41,6292	-0,003257	-0,003224	-0,002498	0	
-41,6292	-0,003257	-0,003223	-0,002498	0	
-20,8146	-0,003257	-0,003223	-0,001249	-0,000294	
-20,8146	-0,003256	-0,003223	-0,001249	-0,000294	
-41,6292	-0,003256	-0,003223	-0,002498	-0,022353	
-41,6292	-0,003253	-0,003223	-0,002498	-0,022353	
-41,6292	-0,003256	-0,003223	-0,002498	-0,042353	
-41,6292	-0,003257	-0,003224	-0,002498	-0,042353	
-52,036499	-0,003256	-0,003228	-0,003122	-0,062647	
-52,036499	-0,003256	-0,003225	-0,003122	-0,062647	
-41,6292	-0,003256	-0,003222	-0,002498	-0,082941	
-41,6292	-0,003256	-0,003225	-0,002498	-0,082941	
-52,036499	-0,003256	-0,003225	-0,003122	-0,102647	
-52,036499	-0,003259	-0,003224	-0,003122	-0,102647	
-41,6292	-0,003259	-0,003224	-0,002498	-0,122941	
-41,6292	-0,003257	-0,003223	-0,002498	-0,122941	
-52,036499	-0,003256	-0,003223	-0,003122	-0,142353	
-52,036499	-0,003256	-0,003223	-0,003122	-0,142353	
-52,036499	-0,003259	-0,003224	-0,003122	-0,162647	
-52,036499	-0,003257	-0,003223	-0,003122	-0,162647	
-41,6292	-0,003256	-0,003224	-0,002498	-0,182353	
-41,6292	-0,003258	-0,003224	-0,002498	-0,182353	
-52,036499	-0,003258	-0,003224	-0,003122	-0,201765	
-52,036499	-0,003257	-0,003224	-0,003122	-0,201765	
-41,6292	-0,003257	-0,003222	-0,002498	-0,222353	
-41,6292	-0,003258	-0,003223	-0,002498	-0,222353	
-41,6292	-0,003258	-0,003225	-0,002498	-0,242353	
-41,6292	-0,003257	-0,003224	-0,002498	-0,242353	
-41,6292	-0,003254	-0,003225	-0,002498	-0,262353	
-41,6292	-0,003257	-0,003224	-0,002498	-0,262353	
-31,221901	-0,003257	-0,003223	-0,001873	-0,282647	
-31,221901	-0,003257	-0,003223	-0,001873	-0,282647	
-41,6292	-0,003254	-0,003223	-0,002498	-0,302353	
-41,6292	-0,003256	-0,003225	-0,002498	-0,302353	
-31,221901	-0,003256	-0,003224	-0,001873	-0,322353	
-31,221901	-0,003258	-0,003223	-0,001873	-0,322353	
-41,6292	-0,003258	-0,003223	-0,002498	-0,342059	
-41,6292	-0,003256	-0,003222	-0,002498	-0,342059	
-31,221901	-0,003254	-0,003224	-0,001873	-0,362353	
-31,221901	-0,003258	-0,003225	-0,001873	-0,362353	
-20,8146	-0,003254	-0,003224	-0,001249	-0,382059	
-20,8146	-0,003256	-0,003222	-0,001249	-0,382059	
-10,4073	-0,003257	-0,003223	-0,000624	-0,402059	
-10,4073	-0,003257	-0,003223	-0,000624	-0,402059	
-10,4073	-0,003256	-0,003223	-0,000624	-0,422353	
-10,4073	-0,003258	-0,003223	-0,000624	-0,422353	
-20,8146	-0,003257	-0,003225	-0,001249	-0,442059	
-20,8146	-0,003257	-0,003224	-0,001249	-0,442059	
-10,4073	-0,003257	-0,003223	-0,000624	-0,462353	
-10,4073	-0,003258	-0,003224	-0,000624	-0,462353	
10,4073	-0,003258	-0,003224	0,000624	-0,482647	
10,4073	-0,003259	-0,003225	0,000624	-0,482647	
31,221901	-0,003257	-0,003219	0,001873	-0,502647	
31,221901	-0,003256	-0,003224	0,001873	-0,502647	
41,6292	-0,003256	-0,003224	0,002498	-0,522059	
41,6292	-0,003257	-0,003224	0,002498	-0,522059	
52,036499	-0,003257	-0,003224	0,003122	-0,542353	
52,036499	-0,003257	-0,003224	0,003122	-0,542353	
62,443802	-0,00326	-0,003224	0,003747	-0,562059	
62,443802	-0,003258	-0,003224	0,003747	-0,562059	
52,036499	-0,003254	-0,003223	0,003122	-0,582353	
52,036499	-0,003257	-0,003224	0,003122	-0,582353	
62,443802	-0,003257	-0,003224	0,003747	-0,603235	
62,443802	-0,003258	-0,003225	0,003747	-0,603235	
83,2584	-0,003257	-0,003225	0,004996	-0,622059	
83,2584	-0,003258	-0,003224	0,004996	-0,622059	
104,072998	-0,003259	-0,003228	0,006244	-0,642353	
104,072998	-0,003256	-0,003224	0,006244	-0,642353	
93,665703	-0,003258	-0,003224	0,00562	-0,662353	
93,665703	-0,003257	-0,003224	0,00562	-0,662353	
114,480301	-0,003258	-0,003229	0,006869	-0,681765	
114,480301	-0,003257	-0,003222	0,006869	-0,681765	
114,480301	-0,003257	-0,003225	0,006869	-0,701765	
114,480301	-0,003257	-0,003226	0,006869	-0,701765	
156,109497	-0,003256	-0,003218	0,009367	-0,722353	
156,109497	-0,003254	-0,003225	0,009367	-0,722353	
135,294907	-0,003254	-0,003225	0,008118	-0,741765	
135,294907	-0,003257	-0,003223	0,008118	-0,741765	
145,702194	-0,003257	-0,003223	0,008742	-0,762059	
145,702194	-0,003253	-0,003225	0,008742	-0,762059	
135,294907	-0,003256	-0,003225	0,008118	-0,782059	
135,294907	-0,003254	-0,003223	0,008118	-0,782059	
145,702194	-0,003257	-0,003223	0,008742	-0,801765	
145,702194	-0,003257	-0,003224	0,008742	-0,801765	
176,924103	-0,003257	-0,003224	0,010615	-0,822353	
176,924103	-0,003257	-0,003224	0,010615	-0,822353	
166,5168	-0,003256	-0,003222	0,009991	-0,841765	
166,5168	-0,003256	-0,003225	0,009991	-0,841765	
187,331406	-0,003254	-0,003223	0,01124	-0,862059	
187,331406	-0,003257	-0,003223	0,01124	-0,862059	
176,924103	-0,003256	-0,003222	0,010615	-0,882059	
176,924103	-0,00326	-0,003225	0,010615	-0,882059	
197,738708	-0,003256	-0,003228	0,011864	-0,902647	
197,738708	-0,003256	-0,003222	0,011864	-0,902647	
197,738708	-0,003256	-0,003224	0,011864	-0,922059	
197,738708	-0,003257	-0,003223	0,011864	-0,922059	
197,738708	-0,003258	-0,003226	0,011864	-0,941765	
197,738708	-0,003258	-0,003223	0,011864	-0,941765	
228,960602	-0,003257	-0,003225	0,013738	-0,962353	
228,960602	-0,003254	-0,003224	0,013738	-0,962353	
228,960602	-0,003256	-0,003223	0,013738	-0,982353	
228,960602	-0,003257	-0,003225	0,013738	-0,982353	
249,775208	-0,003258	-0,003224	0,014987	-1,001471	
249,775208	-0,003257	-0,003223	0,014987	-1,001471	
260,182495	-0,003254	-0,003222	0,015611	-1,022059	
260,182495	-0,003256	-0,003224	0,015611	-1,022059	
249,775208	-0,003258	-0,003224	0,014987	-1,042059	
249,775208	-0,003256	-0,003225	0,014987	-1,042059	
291,404388	-0,003256	-0,003224	0,017484	-1,061765	
291,404388	-0,003257	-0,003223	0,017484	-1,061765	
291,404388	-0,003259	-0,003223	0,017484	-1,082059	
291,404388	-0,003256	-0,003223	0,017484	-1,082059	
270,589813	-0,003256	-0,003223	0,016235	-1,101471	
270,589813	-0,003258	-0,003223	0,016235	-1,101471	
280,997101	-0,003258	-0,003223	0,01686	-1,121765	
280,997101	-0,003257	-0,003224	0,01686	-1,121765	
322,626312	-0,003257	-0,003224	0,019358	-1,142059	
322,626312	-0,003256	-0,003225	0,019358	-1,142059	
301,811707	-0,003256	-0,003221	0,018109	-1,161765	
301,811707	-0,003257	-0,003224	0,018109	-1,161765	
301,811707	-0,003258	-0,003224	0,018109	-1,181765	
301,811707	-0,003253	-0,003225	0,018109	-1,181765	
343,440918	-0,003256	-0,003224	0,020606	-1,202059	
343,440918	-0,003258	-0,003225	0,020606	-1,202059	
353,848206	-0,003258	-0,003223	0,021231	-1,221765	
353,848206	-0,003256	-0,003224	0,021231	-1,221765	
364,255493	-0,003259	-0,003224	0,021855	-1,242059	
364,255493	-0,003256	-0,003224	0,021855	-1,242059	
364,255493	-0,003257	-0,003225	0,021855	-1,261471	
364,255493	-0,003256	-0,003224	0,021855	-1,261471	
385,070099	-0,003256	-0,003224	0,023104	-1,281765	
385,070099	-0,003254	-0,003223	0,023104	-1,281765	
385,070099	-0,003256	-0,003223	0,023104	-1,301765	
385,070099	-0,003257	-0,003224	0,023104	-1,301765	
405,884705	-0,003258	-0,003224	0,024353	-1,319118	
405,884705	-0,003258	-0,003222	0,024353	-1,319118	
405,884705	-0,003257	-0,003223	0,024353	-1,338529	
405,884705	-0,003256	-0,003225	0,024353	-1,357059	
405,884705	-0,003256	-0,003228	0,024353	-1,357059	
405,884705	-0,003258	-0,003224	0,024353	-1,376471	
405,884705	-0,003258	-0,003224	0,024353	-1,376471	
437,106598	-0,003258	-0,003224	0,026226	-1,395882	
437,106598	-0,003256	-0,003223	0,026226	-1,395882	
437,106598	-0,003256	-0,003223	0,026226	-1,414706	
437,106598	-0,003257	-0,003226	0,026226	-1,414706	
447,513916	-0,003257	-0,003226	0,026851	-1,434412	
447,513916	-0,003256	-0,003223	0,026851	-1,434412	
457,921204	-0,003257	-0,003224	0,027475	-1,453235	
457,921204	-0,003258	-0,003223	0,027475	-1,453235	
468,328491	-0,003258	-0,003223	0,0281	-1,472353	
468,328491	-0,003257	-0,003224	0,0281	-1,472353	
489,143097	-0,003257	-0,003224	0,029349	-1,491765	
489,143097	-0,003259	-0,003223	0,029349	-1,491765	
499,550415	-0,003257	-0,003224	0,029973	-1,511765	
499,550415	-0,003259	-0,003223	0,029973	-1,511765	
499,550415	-0,003253	-0,003219	0,029973	-1,531471	
499,550415	-0,003257	-0,003223	0,029973	-1,531471	
499,550415	-0,003257	-0,003223	0,029973	-1,551176	
499,550415	-0,003256	-0,003225	0,029973	-1,551176	
499,550415	-0,003256	-0,003221	0,029973	-1,571471	
499,550415	-0,003256	-0,003223	0,029973	-1,571471	
520,36499	-0,003256	-0,003224	0,031222	-1,591471	
520,36499	-0,003256	-0,003224	0,031222	-1,591471	
541,179626	-0,003257	-0,003224	0,032471	-1,611765	
541,179626	-0,003257	-0,003225	0,032471	-1,611765	
530,772278	-0,003256	-0,003222	0,031846	-1,632059	
530,772278	-0,003257	-0,003224	0,031846	-1,632059	
509,957703	-0,003257	-0,003224	0,030597	-1,651176	
509,957703	-0,003254	-0,003223	0,030597	-1,651176	
582,808777	-0,003256	-0,003225	0,034969	-1,671471	
582,808777	-0,003256	-0,003223	0,034969	-1,671471	
561,994202	-0,003256	-0,003222	0,03372	-1,691176	
561,994202	-0,003256	-0,003224	0,03372	-1,691176	
603,623413	-0,003258	-0,003222	0,036217	-1,711471	
603,623413	-0,003256	-0,003223	0,036217	-1,711471	
582,808777	-0,003257	-0,003222	0,034969	-1,731765	
582,808777	-0,003256	-0,003226	0,034969	-1,731765	
603,623413	-0,003256	-0,003226	0,036217	-1,751176	
603,623413	-0,003254	-0,003223	0,036217	-1,751176	
603,623413	-0,003254	-0,003223	0,036217	-1,771471	
603,623413	-0,003257	-0,003225	0,036217	-1,771471	
634,845276	-0,003257	-0,003225	0,038091	-1,791471	
634,845276	-0,003254	-0,003224	0,038091	-1,791471	
666,0672	-0,003253	-0,003223	0,039964	-1,811765	
666,0672	-0,003253	-0,003222	0,039964	-1,811765	
645,252625	-0,003256	-0,003224	0,038715	-1,831765	
645,252625	-0,003254	-0,003224	0,038715	-1,831765	
645,252625	-0,003254	-0,003224	0,038715	-1,851177	
645,252625	-0,003256	-0,003223	0,038715	-1,851177	
676,474487	-0,003256	-0,003223	0,040588	-1,871471	
676,474487	-0,003258	-0,003223	0,040588	-1,871471	
676,474487	-0,003257	-0,003222	0,040588	-1,890882	
676,474487	-0,003257	-0,003224	0,040588	-1,890882	
676,474487	-0,003253	-0,003223	0,040588	-1,911471	
676,474487	-0,003256	-0,003223	0,040588	-1,911471	
686,881836	-0,003258	-0,003223	0,041213	-1,931765	
686,881836	-0,003256	-0,003224	0,041213	-1,931765	
707,696411	-0,003259	-0,003223	0,042462	-1,951471	
707,696411	-0,003258	-0,003223	0,042462	-1,951471	
686,881836	-0,003256	-0,003224	0,041213	-1,971471	
686,881836	-0,003254	-0,003225	0,041213	-1,971471	
686,881836	-0,003258	-0,003223	0,041213	-1,991176	
686,881836	-0,003254	-0,003222	0,041213	-1,991176	
718,103699	-0,003257	-0,003223	0,043086	-2,011177	
718,103699	-0,003256	-0,003222	0,043086	-2,011177	
718,103699	-0,003257	-0,003223	0,043086	-2,031177	
718,103699	-0,003256	-0,003223	0,043086	-2,031177	
728,510986	-0,003257	-0,003221	0,043711	-2,051177	
728,510986	-0,003258	-0,003224	0,043711	-2,051177	
759,73291	-0,003256	-0,003223	0,045584	-2,070882	
759,73291	-0,003256	-0,003223	0,045584	-2,070882	
780,547485	-0,003257	-0,003225	0,046833	-2,091177	
780,547485	-0,003256	-0,003222	0,046833	-2,091177	
780,547485	-0,003254	-0,003222	0,046833	-2,111765	
