					
Mesure effectuee le 24/03/2014 a 15:37					
frequence 100 millisecond multiple					
section 0.29mm2					
vitesse 0.1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0.001	0.100	2.090	0.100	2.090	0.290
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
4.306469	-0.003256	-0.003225	0.001249	-0.002353	
4.306469	-0.003256	-0.003225	0.001249	-0.002353	
0.000000	-0.003260	-0.003223	0.000000	-0.002647	
0.000000	-0.003260	-0.003223	0.000000	-0.002353	
-2.153234	-0.003258	-0.003224	-0.000624	-0.002353	
0.000000	-0.003259	-0.003224	0.000000	-0.002647	
0.000000	-0.003254	-0.003222	0.000000	-0.002647	
2.153234	-0.003257	-0.003225	0.000624	-0.002353	
2.153234	-0.003257	-0.003224	0.000624	-0.002353	
-4.306469	-0.003254	-0.003225	-0.001249	-0.002647	
-4.306469	-0.003259	-0.003223	-0.001249	-0.002647	
-4.306469	-0.003259	-0.003223	-0.001249	-0.002647	
-4.306469	-0.003259	-0.003223	-0.001249	-0.002647	
-2.153234	-0.003258	-0.003226	-0.000624	-0.002353	
-2.153234	-0.003258	-0.003224	-0.000624	-0.002353	
-6.459703	-0.003258	-0.003224	-0.001873	-0.002647	
-6.459703	-0.003257	-0.003225	-0.001873	-0.002647	
-6.459703	-0.003259	-0.003219	-0.001873	-0.002353	
-6.459703	-0.003256	-0.003224	-0.001873	-0.002353	
-6.459703	-0.003256	-0.003224	-0.001873	-0.002647	
0.000000	-0.003256	-0.003224	0.000000	-0.002647	
-6.459703	-0.003256	-0.003225	-0.001873	-0.002647	
-6.459703	-0.003259	-0.003226	-0.001873	-0.002647	
-2.153234	-0.003257	-0.003225	-0.000624	-0.002353	
-2.153234	-0.003256	-0.003222	-0.000624	-0.002353	
-6.459703	-0.003256	-0.003224	-0.001873	-0.002353	
-6.459703	-0.003259	-0.003224	-0.001873	-0.002353	
-2.153234	-0.003260	-0.003226	-0.000624	-0.013235	
-2.153234	-0.003260	-0.003224	-0.000624	-0.013235	
2.153234	-0.003258	-0.003223	0.000624	-0.037353	
2.153234	-0.003260	-0.003228	0.000624	-0.037353	
0.000000	-0.003254	-0.003226	0.000000	-0.059118	
0.000000	-0.003256	-0.003225	0.000000	-0.059118	
4.306469	-0.003258	-0.003226	0.001249	-0.080000	
4.306469	-0.003258	-0.003225	0.001249	-0.080000	
4.306469	-0.003258	-0.003223	0.001249	-0.100588	
4.306469	-0.003258	-0.003225	0.001249	-0.100588	
4.306469	-0.003258	-0.003226	0.001249	-0.120882	
4.306469	-0.003259	-0.003228	0.001249	-0.120882	
2.153234	-0.003259	-0.003228	0.000624	-0.140294	
2.153234	-0.003260	-0.003225	0.000624	-0.140294	
4.306469	-0.003260	-0.003225	0.001249	-0.160882	
4.306469	-0.003259	-0.003226	0.001249	-0.160882	
0.000000	-0.003258	-0.003225	0.000000	-0.180588	
0.000000	-0.003263	-0.003225	0.000000	-0.180588	
4.306469	-0.003257	-0.003228	0.001249	-0.201176	
4.306469	-0.003259	-0.003228	0.001249	-0.201176	
4.306469	-0.003257	-0.003226	0.001249	-0.220294	
4.306469	-0.003260	-0.003224	0.001249	-0.220294	
0.000000	-0.003260	-0.003226	0.000000	-0.240294	
0.000000	-0.003258	-0.003226	0.000000	-0.240294	
4.306469	-0.003259	-0.003226	0.001249	-0.260588	
4.306469	-0.003259	-0.003226	0.001249	-0.260588	
8.612938	-0.003260	-0.003225	0.002498	-0.280000	
8.612938	-0.003257	-0.003224	0.002498	-0.280000	
12.919407	-0.003259	-0.003228	0.003747	-0.300588	
12.919407	-0.003258	-0.003226	0.003747	-0.300588	
8.612938	-0.003259	-0.003226	0.002498	-0.320882	
8.612938	-0.003260	-0.003225	0.002498	-0.320882	
12.919407	-0.003256	-0.003228	0.003747	-0.340588	
12.919407	-0.003258	-0.003225	0.003747	-0.340588	
15.072641	-0.003257	-0.003226	0.004371	-0.360294	
15.072641	-0.003257	-0.003226	0.004371	-0.360294	
12.919407	-0.003258	-0.003225	0.003747	-0.380588	
12.919407	-0.003256	-0.003224	0.003747	-0.380588	
19.379110	-0.003257	-0.003225	0.005620	-0.400294	
19.379110	-0.003260	-0.003225	0.005620	-0.400294	
21.532345	-0.003258	-0.003226	0.006244	-0.420882	
21.532345	-0.003259	-0.003226	0.006244	-0.420882	
25.838814	-0.003259	-0.003228	0.007493	-0.440588	
25.838814	-0.003257	-0.003229	0.007493	-0.440588	
25.838814	-0.003257	-0.003229	0.007493	-0.460294	
25.838814	-0.003256	-0.003226	0.007493	-0.460294	
30.145283	-0.003257	-0.003225	0.008742	-0.480588	
30.145283	-0.003258	-0.003225	0.008742	-0.480588	
32.298519	-0.003259	-0.003229	0.009367	-0.500882	
32.298519	-0.003259	-0.003229	0.009367	-0.500882	
32.298519	-0.003259	-0.003229	0.009367	-0.520882	
32.298519	-0.003259	-0.003230	0.009367	-0.520882	
38.758221	-0.003258	-0.003224	0.011240	-0.540882	
38.758221	-0.003258	-0.003224	0.011240	-0.540882	
36.604988	-0.003257	-0.003228	0.010615	-0.560588	
36.604988	-0.003260	-0.003224	0.010615	-0.560588	
45.217926	-0.003258	-0.003225	0.013113	-0.580000	
45.217926	-0.003260	-0.003228	0.013113	-0.580000	
43.064690	-0.003259	-0.003225	0.012489	-0.600294	
43.064690	-0.003261	-0.003228	0.012489	-0.600294	
47.371159	-0.003258	-0.003228	0.013738	-0.621176	
47.371159	-0.003259	-0.003224	0.013738	-0.621176	
55.984097	-0.003260	-0.003226	0.016235	-0.639706	
55.984097	-0.003258	-0.003226	0.016235	-0.639706	
62.443802	-0.003259	-0.003228	0.018109	-0.660000	
62.443802	-0.003259	-0.003226	0.018109	-0.660000	
64.597038	-0.003259	-0.003226	0.018733	-0.680294	
64.597038	-0.003257	-0.003225	0.018733	-0.680294	
64.597038	-0.003257	-0.003225	0.018733	-0.700294	
64.597038	-0.003259	-0.003226	0.018733	-0.700294	
66.750267	-0.003259	-0.003226	0.019358	-0.720294	
66.750267	-0.003259	-0.003225	0.019358	-0.720294	
71.056740	-0.003258	-0.003225	0.020606	-0.740000	
71.056740	-0.003258	-0.003224	0.020606	-0.740000	
75.363205	-0.003257	-0.003226	0.021855	-0.760294	
75.363205	-0.003257	-0.003224	0.021855	-0.760294	
81.822914	-0.003260	-0.003225	0.023729	-0.780588	
81.822914	-0.003258	-0.003224	0.023729	-0.780588	
77.516441	-0.003257	-0.003224	0.022480	-0.800294	
77.516441	-0.003257	-0.003226	0.022480	-0.800294	
81.822914	-0.003258	-0.003228	0.023729	-0.820294	
81.822914	-0.003259	-0.003224	0.023729	-0.820294	
81.822914	-0.003257	-0.003228	0.023729	-0.840000	
81.822914	-0.003259	-0.003228	0.023729	-0.840000	
86.129379	-0.003257	-0.003225	0.024978	-0.860000	
86.129379	-0.003257	-0.003224	0.024978	-0.860000	
88.282616	-0.003259	-0.003225	0.025602	-0.879412	
88.282616	-0.003258	-0.003228	0.025602	-0.879412	
96.895554	-0.003258	-0.003225	0.028100	-0.900000	
96.895554	-0.003259	-0.003223	0.028100	-0.900000	
96.895554	-0.003260	-0.003225	0.028100	-0.920294	
96.895554	-0.003258	-0.003229	0.028100	-0.920294	
101.202019	-0.003257	-0.003224	0.029349	-0.939706	
101.202019	-0.003257	-0.003226	0.029349	-0.939706	
107.661728	-0.003259	-0.003225	0.031222	-0.960294	
107.661728	-0.003256	-0.003226	0.031222	-0.960294	
105.508492	-0.003256	-0.003226	0.030597	-0.980000	
105.508492	-0.003258	-0.003225	0.030597	-0.980000	
109.814957	-0.003258	-0.003225	0.031846	-1.000294	
109.814957	-0.003260	-0.003225	0.031846	-1.000294	
114.121429	-0.003260	-0.003225	0.033095	-1.020000	
114.121429	-0.003258	-0.003229	0.033095	-1.020000	
116.274666	-0.003258	-0.003229	0.033720	-1.040000	
116.274666	-0.003258	-0.003226	0.033720	-1.040000	
122.734367	-0.003258	-0.003225	0.035593	-1.059412	
122.734367	-0.003256	-0.003224	0.035593	-1.059412	
118.427895	-0.003259	-0.003226	0.034344	-1.080000	
