					
Mesure effectuee le 24/03/2014 a 14:57					
section 0.52mm2					
corde 5 exl 120					
frequence 100 millisecond multiple					
vitesse 0.1mm/s					
					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
0.048	0.100	2.090	0.100	2.090	0.520
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
175.624557	-0.003259	-0.003225	0.091325	-0.001176	
175.624557	-0.003259	-0.003225	0.091325	-0.001176	
173.235107	-0.003259	-0.003225	0.090082	-0.001176	
173.235107	-0.003257	-0.003225	0.090082	-0.001176	
173.235107	-0.003259	-0.003228	0.090082	-0.001176	
174.429825	-0.003257	-0.003224	0.090704	-0.001176	
174.429825	-0.003259	-0.003224	0.090704	-0.001176	
173.235107	-0.003259	-0.003224	0.090082	-0.001176	
173.235107	-0.003258	-0.003225	0.090082	-0.001176	
175.624557	-0.003257	-0.003225	0.091325	-0.001176	
175.624557	-0.003258	-0.003225	0.091325	-0.001176	
172.040375	-0.003257	-0.003223	0.089461	-0.001176	
172.040375	-0.003256	-0.003225	0.089461	-0.001176	
174.429825	-0.003256	-0.003225	0.090704	-0.001176	
174.429825	-0.003256	-0.003226	0.090704	-0.001176	
174.429825	-0.003256	-0.003225	0.090704	-0.001176	
174.429825	-0.003258	-0.003226	0.090704	-0.001176	
173.235107	-0.003258	-0.003226	0.090082	-0.001176	
173.235107	-0.003258	-0.003226	0.090082	-0.001176	
175.624557	-0.003257	-0.003225	0.091325	-0.001176	
175.624557	-0.003259	-0.003223	0.091325	-0.001176	
172.040375	-0.003258	-0.003226	0.089461	-0.001176	
172.040375	-0.003257	-0.003226	0.089461	-0.001176	
173.235107	-0.003259	-0.003225	0.090082	-0.001176	
173.235107	-0.003258	-0.003228	0.090082	-0.001176	
173.235107	-0.003259	-0.003229	0.090082	-0.010588	
173.235107	-0.003259	-0.003226	0.090082	-0.010588	
175.624557	-0.003259	-0.003226	0.091325	-0.035294	
175.624557	-0.003258	-0.003228	0.091325	-0.035294	
175.624557	-0.003258	-0.003228	0.091325	-0.056765	
175.624557	-0.003259	-0.003228	0.091325	-0.056765	
182.792908	-0.003259	-0.003228	0.095052	-0.077941	
182.792908	-0.003260	-0.003229	0.095052	-0.077941	
182.792908	-0.003259	-0.003225	0.095052	-0.101765	
182.792908	-0.003260	-0.003225	0.095052	-0.101765	
183.987625	-0.003260	-0.003224	0.095674	-0.120000	
183.987625	-0.003258	-0.003228	0.095674	-0.120000	
187.571808	-0.003258	-0.003228	0.097537	-0.140294	
187.571808	-0.003257	-0.003230	0.097537	-0.140294	
192.350708	-0.003257	-0.003230	0.100022	-0.161176	
192.350708	-0.003260	-0.003226	0.100022	-0.161176	
194.740158	-0.003258	-0.003229	0.101265	-0.181765	
194.740158	-0.003257	-0.003226	0.101265	-0.181765	
195.934875	-0.003257	-0.003226	0.101886	-0.200294	
195.934875	-0.003256	-0.003226	0.101886	-0.200294	
200.713776	-0.003257	-0.003224	0.104371	-0.221471	
200.713776	-0.003259	-0.003223	0.104371	-0.221471	
203.103226	-0.003257	-0.003226	0.105614	-0.241765	
203.103226	-0.003256	-0.003226	0.105614	-0.241765	
205.492676	-0.003258	-0.003229	0.106856	-0.260588	
205.492676	-0.003259	-0.003229	0.106856	-0.260588	
210.271576	-0.003258	-0.003225	0.109341	-0.280588	
210.271576	-0.003257	-0.003225	0.109341	-0.280588	
211.466293	-0.003257	-0.003225	0.109962	-0.301176	
211.466293	-0.003259	-0.003225	0.109962	-0.301176	
213.855743	-0.003260	-0.003225	0.111205	-0.320000	
213.855743	-0.003261	-0.003225	0.111205	-0.320000	
216.245193	-0.003258	-0.003224	0.112448	-0.339118	
216.245193	-0.003259	-0.003224	0.112448	-0.339118	
218.634644	-0.003257	-0.003225	0.113690	-0.359412	
218.634644	-0.003259	-0.003228	0.113690	-0.359412	
223.413544	-0.003260	-0.003228	0.116175	-0.378824	
223.413544	-0.003261	-0.003228	0.116175	-0.378824	
224.608276	-0.003259	-0.003228	0.116796	-0.400588	
224.608276	-0.003258	-0.003228	0.116796	-0.400588	
229.387177	-0.003258	-0.003225	0.119281	-0.419706	
229.387177	-0.003257	-0.003228	0.119281	-0.419706	
230.581894	-0.003258	-0.003226	0.119903	-0.439412	
230.581894	-0.003257	-0.003225	0.119903	-0.439412	
231.776627	-0.003258	-0.003228	0.120524	-0.459118	
231.776627	-0.003259	-0.003228	0.120524	-0.459118	
236.555527	-0.003260	-0.003224	0.123009	-0.478529	
236.555527	-0.003259	-0.003225	0.123009	-0.478529	
241.334427	-0.003259	-0.003228	0.125494	-0.497647	
241.334427	-0.003258	-0.003229	0.125494	-0.497647	
242.529144	-0.003258	-0.003229	0.126115	-0.520882	
242.529144	-0.003260	-0.003225	0.126115	-0.520882	
244.918594	-0.003260	-0.003225	0.127358	-0.538235	
244.918594	-0.003259	-0.003228	0.127358	-0.538235	
246.113327	-0.003258	-0.003228	0.127979	-0.557647	
246.113327	-0.003259	-0.003226	0.127979	-0.557647	
249.697495	-0.003260	-0.003225	0.129843	-0.577941	
249.697495	-0.003260	-0.003229	0.129843	-0.577941	
254.476395	-0.003258	-0.003224	0.132328	-0.598235	
254.476395	-0.003257	-0.003228	0.132328	-0.598235	
255.671127	-0.003259	-0.003223	0.132949	-0.617941	
255.671127	-0.003259	-0.003228	0.132949	-0.617941	
259.255280	-0.003258	-0.003225	0.134813	-0.635882	
259.255280	-0.003261	-0.003228	0.134813	-0.655000	
262.839478	-0.003260	-0.003228	0.136677	-0.655000	
262.839478	-0.003260	-0.003228	0.136677	-0.673824	
264.034180	-0.003260	-0.003228	0.137298	-0.673824	
266.423645	-0.003257	-0.003226	0.138540	-0.692941	
266.423645	-0.003260	-0.003226	0.138540	-0.692941	
272.397278	-0.003258	-0.003228	0.141647	-0.712059	
272.397278	-0.003258	-0.003226	0.141647	-0.712059	
273.591980	-0.003263	-0.003223	0.142268	-0.731176	
273.591980	-0.003258	-0.003225	0.142268	-0.731176	
273.591980	-0.003257	-0.003226	0.142268	-0.750588	
273.591980	-0.003259	-0.003228	0.142268	-0.750588	
280.760345	-0.003259	-0.003225	0.145995	-0.769706	
