						
Méthode d'essai	traction.msm					
Nom du lot	corde5_exl120.mss					
Eprouvette n°	1					
						
Force (N)	Temps (s)	Allongement (mm)	Contrainte (MPa)	Déformation (mm/mm)	Extensometer (mm)	Traverse (mm)
						
44.219	0.800	40.960	85.813	1.638	40.960	0.010
44.779	0.900	40.960	86.899	1.638	40.960	0.020
45.279	1.000	40.960	87.870	1.638	40.960	0.030
45.827	1.100	40.960	88.932	1.638	40.960	0.040
46.406	1.200	40.960	90.055	1.638	40.960	0.050
46.919	1.300	40.960	91.052	1.638	40.960	0.061
47.459	1.400	40.960	92.100	1.638	40.960	0.071
47.987	1.500	40.960	93.124	1.638	40.960	0.080
48.559	1.600	40.960	94.235	1.638	40.960	0.091
49.037	1.700	40.960	95.162	1.638	40.960	0.100
49.597	1.800	40.960	96.248	1.638	40.960	0.111
50.119	1.900	40.960	97.262	1.638	40.960	0.121
50.629	2.000	40.960	98.252	1.638	40.960	0.130
51.199	2.100	40.960	99.358	1.638	40.960	0.141
51.725	2.200	40.960	100.379	1.638	40.960	0.150
52.179	2.300	40.960	101.260	1.638	40.960	0.159
52.799	2.400	40.960	102.463	1.638	40.960	0.171
53.334	2.500	40.960	103.501	1.638	40.960	0.180
53.879	2.600	40.960	104.559	1.638	40.960	0.191
54.399	2.700	40.960	105.568	1.638	40.960	0.200
54.939	2.800	40.960	106.616	1.638	40.960	0.210
55.459	2.900	40.960	107.625	1.638	40.960	0.220
55.979	3.000	40.960	108.634	1.638	40.960	0.230
56.567	3.100	40.960	109.774	1.638	40.960	0.240
57.079	3.200	40.960	110.769	1.638	40.960	0.250
57.579	3.300	40.960	111.739	1.638	40.960	0.260
58.199	3.400	40.960	112.942	1.638	40.960	0.271
58.704	3.500	40.960	113.922	1.638	40.960	0.281
59.259	3.600	40.960	114.999	1.638	40.960	0.291
59.765	3.700	40.960	115.982	1.638	40.960	0.300
60.199	3.800	40.960	116.823	1.638	40.960	0.309
60.819	3.900	40.960	118.027	1.638	40.960	0.321
61.282	4.000	40.960	118.924	1.638	40.960	0.330
61.859	4.100	40.960	120.045	1.638	40.960	0.341
62.332	4.200	40.960	120.962	1.638	40.960	0.350
62.808	4.300	40.960	121.886	1.638	40.960	0.360
63.419	4.400	40.960	123.072	1.638	40.960	0.371
63.896	4.500	40.960	123.999	1.638	40.960	0.381
64.399	4.600	40.960	124.974	1.638	40.960	0.391
64.834	4.700	40.960	125.818	1.638	40.960	0.400
65.311	4.800	40.960	126.745	1.638	40.960	0.410
65.819	4.900	40.960	127.729	1.638	40.960	0.421
66.264	5.000	40.960	128.593	1.638	40.960	0.431
66.739	5.100	40.960	129.515	1.638	40.960	0.441
67.123	5.200	40.960	130.259	1.638	40.960	0.450
67.551	5.300	40.960	131.092	1.638	40.960	0.460
67.999	5.400	40.960	131.960	1.638	40.960	0.470
